"","x"
"1","none"
"2","Soundtrack"
"3","Spoken & Audio"
"4","その他"
"5","音声 (一般)"
"6","R&B"
"7","不明"
"8","Pop"
"9","ポップ"
"10","VoiceActor"
"11","ドラマCD"
"12","Unclassifiable"
"13","ブルース"
"14","Alternative & Punk"
"15","General Spoken"
"16","サウンドトラック"
"17","ロック"
"18","Books & Spoken"
"19","DramaCD"
"20","Classical"
"21","Other"
"22","歌ってみた"
