"","x"
"Classical",428
"none",212
"Soundtrack",85
"Pop",19
"Traditional",18
"現代音楽",18
"Jazz",17
"ncnc",7
"Blues",1
"Indie Rock",1
"Other",1
"Religious",1
"クラシック",1
"サウンドトラック",1
"その他",1
"Alternative & Punk",0
"Anime(J)",0
"Books & Spoken",0
"Children's Music",0
"Electone",0
"Game",0
"Industrial",0
"Japanese",0
"Podcast",0
"Rock",0
"Spoken & Audio",0
"Wolfmusik",0
"テクノ",0
"管弦楽曲",0
