"","x"
"1","Classical"
"2","none"
"3","Soundtrack"
"4","Jazz"
"5","ncnc"
"6","現代音楽"
"7","Spoken & Audio"
"8","Books & Spoken"
"9","Pop"
"10","Other"
"11","Traditional"
"12","Industrial"
"13","管弦楽曲"
"14","Alternative & Punk"
"15","Religious"
"16","Rock"
"17","クラシック"
"18","Children's Music"
"19","Podcast"
"20","Blues"
"21","Indie Rock"
"22","Japanese"
"23","Wolfmusik"
"24","サウンドトラック"
"25","その他"
"26","テクノ"
