"","x"
"Classical",1765
"none",713
"Other",610
"Soundtrack",439
"ncnc",185
"Jazz",174
"Pop",117
"Spoken & Audio",61
"現代音楽",54
"Books & Spoken",45
"Traditional",35
"Children's Music",13
"Rock",13
"Alternative & Punk",10
"Industrial",10
"Podcast",10
"管弦楽曲",8
"Indie Rock",7
"Religious",6
"クラシック",5
"その他",2
"Anime(J)",1
"Blues",1
"Electone",1
"Game",1
"Japanese",1
"Wolfmusik",1
"サウンドトラック",1
"テクノ",1
