"","x"
"Rock",370
"Pop",352
"Jazz",314
"Traditional",217
"Indie Rock",161
"Classical",108
"Electronica",105
"Metal",100
"Alternative",84
"Country & Folk",56
"Rap",43
"R&B",37
"none",22
"iTunes U",20
"Latin",14
"Blues",9
"Voice Memo",6
"ボイスメモ",6
"Other",3
"Soundtrack",3
"Spoken & Audio",2
"Podcast",1
"News",0
"R&B_Soul",0
"Short Films",0
"Tech News",0
