"sortedIml...1." "sortedIml...6." "sortedIml...2." "genreRank" "timeID"
"70" 2012-10-20 10:38:51 "Put The Boy Back In Cowboy" "Metal" 4 154
"71" 2012-10-20 14:42:33 "蔵前駕籠 1 マクラ" "Traditional" 2 158
"72" 2012-10-20 14:56:59 "蔵前駕籠 2 女郎買いに決死隊あり" "Traditional" 2 158
"73" 2012-10-20 15:00:28 "蔵前駕籠 3 蔵前通りの大芝居～サゲ～中入り" "Traditional" 2 159
"74" 2012-10-20 15:06:22 "『黄金餅』 出囃子「三下り中の舞」～マクラ" "Traditional" 2 159
"75" 2012-10-20 15:10:21 "『黄金餅』 二朱分のあんころ餅" "Traditional" 2 159
"76" 2012-10-20 15:14:30 "『黄金餅』 西念の異様な最後" "Traditional" 2 159
"77" 2012-10-20 15:28:53 "『黄金餅』 長屋の弔い" "Traditional" 2 159
"78" 2012-10-20 15:29:51 "『黄金餅』 下谷から麻布へ、町名づくし" "Traditional" 2 159
"79" 2012-10-20 15:35:54 "『黄金餅』 麻布絶口釜蕪村の木蓮寺" "Traditional" 2 159
"80" 2012-10-20 15:56:16 "『大工調べ』 出囃子「老松」～マクラ" "Traditional" 2 159
"81" 2012-10-20 16:02:45 "『大工調べ』 道具箱喪失の事情" "Traditional" 2 160
"82" 2012-10-20 16:06:56 "『大工調べ』 八百文足りないばかりに" "Traditional" 2 160
"83" 2012-10-20 16:12:32 "『大工調べ』 政五郎と家主、まずは順当なかけあい" "Traditional" 2 160
"84" 2012-10-20 17:44:30 "『大工調べ』 因業家主" "Traditional" 2 161
"85" 2012-10-20 17:48:18 "『大工調べ』 政五郎の啖呵" "Traditional" 2 161
"86" 2012-10-20 17:50:49 "『大工調べ』 与太郎も毒ずく" "Traditional" 2 161
"87" 2012-10-20 18:27:51 "『大工調べ』 奉行の裁き。まずは家主の権利保証" "Traditional" 2 162
"88" 2012-10-20 18:30:35 "『柳田格之進』-1 出囃子「三下り中の舞」～マクラ" "Traditional" 2 162
"89" 2012-10-20 18:49:44 "『柳田格之進』-2 柳田と万屋の縁" "Traditional" 2 162
"90" 2012-10-20 18:53:49 "『柳田格之進』-3 十五夜の変事" "Traditional" 2 162
"91" 2012-10-20 19:07:24 "『柳田格之進』-4 柳田の冤罪" "Traditional" 2 163
"92" 2012-10-20 19:12:52 "『柳田格之進』-5 娘の自己犠牲" "Traditional" 2 163
"93" 2012-10-20 19:16:11 "『柳田格之進』-6 番頭との約束 柳田退去" "Traditional" 2 163
"94" 2012-10-20 19:20:31 "『柳田格之進』-7 現われた五十両" "Traditional" 2 163
"95" 2012-10-20 19:27:45 "『柳田格之進』-8 柳田捜索活動" "Traditional" 2 163
"96" 2012-10-20 19:35:22 "『柳田格之進』-9 柳田との遭遇" "Traditional" 2 163
