"","x"
"Rock",149
"Traditional",136
"Pop",124
"Metal",110
"Indie Rock",95
"Jazz",88
"Electronica",45
"Alternative",31
"Dance & House",18
"Blues",12
"Classical",6
"Latin",6
"Country & Folk",4
"Other",3
"Spoken & Audio",2
"none",0
"Podcast",0
"Punk",0
"R&B_Soul",0
"Rap",0
"Soundtrack",0
"Voice Memo",0
