"","x"
"1","Jazz"
"2","Guitarist"
"3","Soundtrack"
"4","Jazz Fusion"
"5","サウンドトラック"
"6","Rock"
"7","UK Rock"
"8","Conposer"
"9","J-Pop"
"10","Cuban Jazz"
"11","Funk"
"12","Fusion"
"13","Classic"
"14","Jam Rock"
"15","Singer Songwriter"
"16","Techno Pop"
"17","World"
