"","x"
"1","none"
"2","Classical"
"3","Rock"
"4","Pop"
"5","Dance & House"
"6","R&B"
"7","Easy Listening"
"8","New Age"
"9","Soundtrack"
"10","Wind Orchestra"
"11","Punk"
"12","Jazz"
"13","Traditional"
"14","Trance"
"15","Alternative"
"16","Bossa Nova"
"17","Country & Folk"
"18","Indie Rock"
"19","jubeat"
"20","Rap"
