"","x"
"Rock",586
"Pop",433
"Jazz",394
"Indie Rock",317
"Traditional",315
"iTunes U",181
"Electronica",137
"Country & Folk",132
"Metal",124
"Alternative",120
"Rap",115
"Classical",108
"none",58
"R&B",51
"Voice Memo",51
"ボイスメモ",46
"Podcast",33
"Latin",26
"Blues",12
"Soundtrack",10
"News",9
"Spoken & Audio",9
"Other",4
"R&B_Soul",1
"Short Films",1
"Tech News",1
