"","x"
"Pop",130
"Rock",101
"Soundtrack",72
"Traditional",42
"none",26
"Children's",24
"Latin",20
"R&B",20
"Indie Rock",17
"Electronica",16
"Religious",12
"Jazz",8
"ポップ",2
"R&B／ソウル",1
"Dance & House",0
