"","x"
"1","none"
"2","Pop"
"3","Classical"
"4","146"
"5","Soundtrack"
"6","Rock"
"7","Jazz & Fusion"
"8","Indie Rock"
"9","Jazz"
"10","Other"
"11","ゲーム"
"12","145"
"13","ポップス"
"14","New Age"
"15","その他"
"16","ポップ"
"17","ラテン"
"18","レゲエ"
"19","ロック"
"20","ワールド"
