"","x"
"none",256
"Rock",211
"Classical",208
"Pop",118
"Dance & House",62
"R&B",59
"Easy Listening",50
"New Age",39
"Soundtrack",25
"Wind Orchestra",25
"Punk",14
"Jazz",13
"Traditional",12
"Trance",11
"Alternative",10
"Bossa Nova",8
"Country & Folk",8
"Indie Rock",7
"jubeat",1
"Rap",1
"ボイスメモ",0
