"","x"
"1","Rock"
"2","Pop"
"3","Jazz"
"4","Traditional"
"5","Indie Rock"
"6","Classical"
"7","Electronica"
"8","Metal"
"9","Alternative"
"10","Country & Folk"
"11","Rap"
"12","R&B"
"13","none"
"14","iTunes U"
"15","Latin"
"16","Blues"
"17","Voice Memo"
"18","ボイスメモ"
"19","Other"
"20","Soundtrack"
"21","Spoken & Audio"
"22","Podcast"
